Site ,STATION,State ,Latitude,Longitude 
Maria Island,MAI,TAS ,-42.59666667,148.2333333
Kangaroo Is ,KAI,SA ,-35.83216667,136.4473333
Esperance ,ESP,WA ,-33.93333333,121.85
Rottnest Is,ROT,WA ,-32,115.4166667
Ningaloo ,NIN,WA ,-21.86651667,113.9470333
Darwin ,DAR,NT ,-12.4,130.76805
Yongala ,YON,QLD ,-19.30846667,147.6184167
Port Hacking,PHB,NSW ,-34.08333333,151.25
North Stradbroke Island,NSI,QLD ,-27.34,153.562
